,Title,Wiki Link,Blurb,x,y
108,Robin Hood's Larder,https://en.wikipedia.org/wiki/Robin_Hood%27s_Larder,,-51.0,28.0
109,Royal Oak,https://en.wikipedia.org/wiki/Royal_Oak,Tree in which King Charles II hid in 1651,63.0,28.0
110,Royal Oak (Thuringia),https://en.wikipedia.org/wiki/Royal_Oak_(Thuringia),"Natural monument in Thuringia, Germany",-150.0,28.0
111,Rumskulla oak,https://en.wikipedia.org/wiki/Rumskulla_oak,"Oak tree in Kalmar County, Sweden",6.0,101.0
112,Sacred Oak,https://en.wikipedia.org/wiki/Sacred_Oak,,20.0,174.0
113,Seven Sisters Oak,https://en.wikipedia.org/wiki/Seven_Sisters_Oak,"Southern live oak in Mandeville, Louisiana",-93.0,-26.0
114,Shawshank tree,https://en.wikipedia.org/wiki/Shawshank_tree,"Former white oak near Lucas, Ohio, US",-8.0,174.0
115,Shelton Oak,https://en.wikipedia.org/wiki/Shelton_Oak,Tree in England,34.0,-26.0
116,Shire Oak (Headingley),https://en.wikipedia.org/wiki/Shire_Oak_(Headingley),,-93.0,101.0
117,Six Oaks of Likoshan,https://en.wikipedia.org/wiki/Six_Oaks_of_Likoshan,Grove of trees in Kosovo,-79.0,120.0
118,Snoegen,https://en.wikipedia.org/wiki/Snoegen,,-122.0,65.0
119,Skipinnish Oak,https://en.wikipedia.org/wiki/Skipinnish_Oak,"Oak tree in Achnacarry, Lochaber, Scotland",148.0,83.0
120,Sobieski Oak,https://en.wikipedia.org/wiki/Sobieski_Oak,Tree in Poland,-93.0,120.0
121,Sobreiro Monumental,https://en.wikipedia.org/wiki/Sobreiro_Monumental,,134.0,120.0
122,Stelmuze Oak,https://en.wikipedia.org/wiki/Stelmu%C5%BE%C4%97_Oak,,49.0,174.0
123,Storkeegen,https://en.wikipedia.org/wiki/Storkeegen,,91.0,120.0
124,The Suffrage Oak,https://en.wikipedia.org/wiki/The_Suffrage_Oak,"Oak tree in Glasgow, Scotland",6.0,83.0
125,Tamme-Lauri oak,https://en.wikipedia.org/wiki/Tamme-Lauri_oak,Thickest and oldest oak in Estonia,120.0,10.0
126,Three Brother Tree,https://en.wikipedia.org/wiki/Three_Brother_Tree,,-65.0,28.0
127,Three Mile Oak,https://en.wikipedia.org/wiki/Three_Mile_Oak,Historic site,-150.0,47.0
128,Tordenskiold Oak,https://en.wikipedia.org/wiki/Tordenskiold_Oak,,-22.0,65.0
129,Travilah Oak,https://en.wikipedia.org/wiki/Travilah_Oak,"Large white oak located in Travilah, Maryland, United States",-79.0,-26.0
130,"Treaty Oak (Austin, Texas)","https://en.wikipedia.org/wiki/Treaty_Oak_(Austin,_Texas)","Historic tree in Austin, Texas",148.0,65.0
131,Treaty Oak (Jacksonville),https://en.wikipedia.org/wiki/Treaty_Oak_(Jacksonville),"Tree in Jacksonville, Florida, US",-79.0,156.0
132,"Treaty Oak (Washington, D.C.)","https://en.wikipedia.org/wiki/Treaty_Oak_(Washington,_D.C.)","350-400 year old oak tree in Washington, D.C",-8.0,156.0
133,Tree of Life (Louisiana),https://en.wikipedia.org/wiki/Tree_of_Life_(Louisiana),Tree in Louisiana,134.0,101.0
134,Tree That Owns Itself,https://en.wikipedia.org/wiki/Tree_That_Owns_Itself,"Tree in Georgia, USA",-65.0,-26.0
135,Vizcaíno-Serra Oak,https://en.wikipedia.org/wiki/Vizca%C3%ADno-Serra_Oak,,77.0,10.0
136,Tree That Owns Itself (Alabama),https://en.wikipedia.org/wiki/Tree_That_Owns_Itself_(Alabama),,49.0,156.0
137,Wallace Oak (Elderslie),https://en.wikipedia.org/wiki/Wallace_Oak_(Elderslie),Historic oak tree,34.0,83.0
138,Wallace Oak (Port Glasgow),https://en.wikipedia.org/wiki/Wallace_Oak_(Port_Glasgow),,162.0,-8.0
139,Wallace Oak (Torwood),https://en.wikipedia.org/wiki/Wallace_Oak_(Torwood),,134.0,10.0
140,Washington Oak,https://en.wikipedia.org/wiki/Washington_Oak,Protected ancient tree in the United States,34.0,-8.0
141,"Winameg, Ohio","https://en.wikipedia.org/wiki/Winameg,_Ohio",,-51.0,-26.0
142,Wye Oak,https://en.wikipedia.org/wiki/Wye_Oak,Largest known white oak in the United States,-107.0,83.0
143,Wyndham's Oak,https://en.wikipedia.org/wiki/Wyndham%27s_Oak,,34.0,101.0
144,,https://en.wikipedia.org,,,
