"Year","Species","Elevation","day246","day247","day248","day249","day250","day251","day252","day253","day254","day255","day256","day257","day258","day259","day260","day261","day262","day263","day264","day265","day266","day267","day268","day269","day270","day271","day272","day273","day274","day275","day276","day277","day278","day279","day280","day281","day282","day283","day284","day285","day286","day287","day288","day289","day290","day291","day292","day293","day294","day295","day296","day297","day298","day299","day300","day301","day302","day303","day304","day305","day306","day307","day308","day309","day310"
"2012","RMS","1400","0.90","1.80","2.60","3.50","4.40","5.10","5.80","6.50","7.20","7.90","8.50","9.20","11.20","13.20","15.10","17.10","19.10","21.10","23.10","25.00","27.90","30.70","33.60","36.40","39.30","42.20","45.00","46.80","48.70","50.50","52.40","54.20","56.60","59.10","61.50","63.90","66.40","68.80","68.00","67.20","66.40","62.20","58.00","53.80","46.20","38.50","30.90","23.30","15.70","8.00","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2013","RMS","1400","8.00","8.20","8.40","8.50","8.70","8.90","9.10","9.30","9.40","10.70","12.10","13.40","14.80","16.10","17.40","18.80","20.10","21.50","22.80","24.10","25.50","26.80","31.40","36.00","40.70","45.30","50.00","54.50","59.10","63.80","68.40","66.90","65.30","63.80","62.20","64.30","66.40","68.50","70.60","56.80","42.90","29.10","15.20","10.10","5.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1991","SM","1400","2.90","5.90","8.80","9.10","9.50","9.80","10.10","10.50","10.80","11.10","11.40","11.80","12.10","12.40","12.80","13.10","13.40","13.80","16.70","19.60","22.60","25.50","28.40","31.30","34.20","37.20","40.10","43.00","45.90","48.80","51.80","50.50","49.30","48.00","46.80","45.50","44.20","43.00","39.00","34.90","30.90","26.90","22.90","18.80","17.60","16.40","15.30","14.10","12.90","11.70","10.50","9.40","8.20","7.00","5.80","4.60","3.50","2.30","1.10","0.00","0.00","0.0","0.0","0.0","0.0"
"1992","SM","1400","1.40","2.90","4.30","5.70","7.20","8.60","10.00","11.10","12.20","13.20","14.30","15.40","16.50","17.60","18.60","19.70","20.80","21.90","23.00","24.00","24.90","25.80","26.70","27.60","28.50","29.30","30.20","31.10","32.00","32.90","33.80","34.70","35.60","36.50","38.00","39.60","41.10","42.70","44.20","45.70","47.30","48.80","42.80","36.70","30.70","24.60","18.60","12.60","6.50","5.90","5.30","4.70","4.10","3.60","3.00","2.40","1.80","1.20","0.60","0.00","0.00","0.0","0.0","0.0","0.0"
"1993","SM","1400","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","3.80","4.60","5.30","6.10","6.80","7.60","8.30","9.10","9.80","10.60","11.30","14.30","17.30","20.30","23.30","26.30","29.30","32.30","32.20","32.00","31.90","31.80","31.70","31.50","31.40","31.30","30.10","28.80","27.60","26.30","25.10","23.80","22.10","20.40","18.70","17.00","15.30","13.60","11.90","10.20","8.50","6.80","5.10","3.40","1.70","0.00","0.00","0.0","0.0","0.0","0.0"
"1994","SM","1400","1.10","2.20","3.30","4.40","5.50","6.70","7.80","8.20","8.50","8.90","9.20","9.60","9.90","10.30","10.60","11.00","11.30","11.70","12.00","12.30","14.30","16.40","18.40","20.40","22.50","24.50","26.50","28.50","31.10","33.80","36.40","39.00","41.70","44.30","45.70","47.10","48.50","49.90","51.30","52.70","54.10","55.50","46.90","38.30","29.60","21.00","12.40","3.80","3.50","3.20","2.80","2.50","2.20","1.90","1.60","1.20","0.90","0.60","0.30","0.00","0.00","0.0","0.0","0.0","0.0"
"1995","SM","1400","0.10","0.20","0.30","0.40","0.50","0.60","0.70","0.90","1.00","1.10","1.20","1.30","1.50","1.60","1.70","1.80","1.90","2.00","3.30","4.60","5.80","7.10","8.40","9.70","11.00","12.20","13.50","17.10","20.80","24.40","28.00","31.70","35.30","36.80","38.40","39.90","41.40","43.00","44.50","46.00","40.10","34.30","28.40","22.60","16.70","10.80","5.00","4.60","4.20","3.90","3.50","3.10","2.70","2.30","2.00","1.60","1.20","0.80","0.40","0.00","0.00","0.0","0.0","0.0","0.0"
"1996","SM","1400","0.10","0.20","0.20","0.30","0.70","1.00","1.40","1.70","2.10","2.50","2.80","3.20","3.50","3.90","4.30","4.60","5.00","5.80","6.60","7.40","8.20","9.10","9.90","10.70","11.50","12.30","16.10","19.90","23.70","27.50","31.30","35.00","38.80","39.80","40.80","41.80","42.80","43.80","44.80","45.80","46.50","47.10","47.80","48.50","49.20","49.80","40.60","31.50","22.30","13.20","4.00","3.60","3.10","2.70","2.20","1.80","1.40","0.90","0.50","0.00","0.00","0.0","0.0","0.0","0.0"
"1997","SM","1400","0.50","0.70","0.90","1.10","1.30","1.50","1.60","1.80","2.00","2.20","2.40","2.60","2.80","3.00","4.30","5.60","6.90","8.20","9.50","10.70","12.00","13.30","14.60","15.90","17.20","18.50","19.80","21.10","22.30","27.70","33.10","38.60","44.00","49.40","54.80","50.30","45.90","41.40","36.90","32.50","28.00","23.50","20.60","17.80","14.90","12.00","9.20","6.30","5.80","5.20","4.70","4.20","3.70","3.10","2.60","2.10","1.50","1.00","0.50","0.00","0.00","0.0","0.0","0.0","0.0"
"1998","SM","1400","0.90","1.80","2.10","2.30","2.60","2.80","3.10","3.30","3.60","3.80","4.10","4.30","4.60","4.80","5.00","5.70","6.50","7.20","7.90","8.70","9.40","10.10","10.80","15.90","21.00","26.10","31.20","36.30","41.40","46.50","45.50","44.60","43.60","42.70","41.70","40.70","39.80","34.90","30.00","25.00","20.10","15.20","10.30","8.60","7.00","5.30","3.60","2.00","0.30","0.30","0.20","0.20","0.20","0.20","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
